Taxon,Species,Region,Grid,Idgrid,Source
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2050000E3600000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2050000E4200000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2050000E4250000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2000000E4500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2050000E4500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2050000E4550000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2050000E4600000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2050000E4650000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2050000E4700000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2050000E4750000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN2050000E4800000,IUCN_Red_List
